"id","complexity","req_quality","frustration","comm_volume","misunderstandings","escalated"
59,52.0093442235434,68.3795156026558,6.18664489880609,56.169058842698,0,0
60,35.0142091554607,53.6539646639289,9.59272718263473,46.1524358750288,5,0
61,47.8779396378018,61.5926281784552,8.85429789198238,71.0668950934898,7,0
62,52.5099484947322,64.3800588460078,8.19359072503665,72.2307834492974,5,1
63,47.0181708099248,60.9150417392864,6.26368781831138,74.2410146865033,2,0
64,45.6318921786185,43.4301363916115,11.6354249272925,69.9538463003372,2,1
65,23.9840444862607,66.8488519416976,1.30740945283392,31.8620528548398,1,0
66,45.9090750240109,62.278175633179,9.06172152414968,75.65045141105,3,0
67,23.0010577745476,76.8437397703797,6.78784074255423,45.3444861214779,0,0
68,67.2911146520456,56.4518610072,13.3547249958843,94.4659879003589,5,0
69,34.9502077161199,68.5365059539125,7.433731753568,59.5119273790503,1,0
70,52.2231506643881,68.1488066686552,7.09819617337803,65.64064683542,0,0
71,57.7924502112376,47.698164281837,12.2656293393981,82.6420509218063,6,1
72,50.0815444171364,51.285863044191,10.6789702187798,78.4638459832039,2,0
73,70.2053125198091,50.3449986566423,8.94732093234883,73.1296654603389,5,0
74,37.2944987405601,65.3361227803309,7.10662651737271,53.9920672225811,1,0
75,56.6509702597366,69.2262233975605,7.03910752474667,64.8862731718153,3,0
76,35.3427579751503,53.977336185071,5.84740198290828,44.8649250799354,4,0
77,81.8673670327041,37.6068819723526,13.5773293307598,98.6419610676407,5,0
78,60.3154844084231,61.6327624653009,6.25454326732535,76.2468917252638,2,0
79,44.8494766972941,55.2837807407746,7.62537402446688,61.8390432290746,3,0
80,61.7775420901092,51.2264819631028,10.5733691728018,73.4442113693633,6,0
81,32.6663380884422,69.6193429741853,5.64816058377809,51.671992083956,1,0
82,72.6337451958905,43.4325123449636,9.52938638648065,93.5559873074967,3,0
83,32.6675575961397,56.322125527107,12.0651800382357,60.0234695451824,0,0
84,26.6478228468997,63.1038356317673,5.84094857806584,45.3200357460316,3,0
85,49.1712811216467,53.8693242439281,7.96854461798431,74.904887064206,4,0
86,62.7378974405407,46.1747162783642,13.2117442784283,81.1570735608207,3,0
